symbol,company_name,foreign_ownership,max_allowed,investor_limit
9621,دي آر سي,49.0%,0.38%,0.0%
9625,إتمام,49.0%,0.07%,0.0%
2190,سيسكو القابضة,49.0%,12.33%,0.0%
4031,الخدمات الأرضية,49.0%,6.65%,0.0%
4040,سابتكو,49.0%,6.8%,0.0%
4260,بدجت السعودية,49.0%,17.67%,0.0%
4261,ذيب,49.0%,5.9%,0.0%
4262,لومي,49.0%,2.99%,0.0%
4263,سال,49.0%,6.65%,0.0%
9571,مناوله,49.0%,0.18%,0.0%
9577,دار المركبة,49.0%,0.07%,0.0%
9584,ريال,49.0%,0.41%,0.0%
1213,نسيج,49.0%,1.88%,0.0%
2130,صدق,49.0%,4.05%,0.0%
2340,ارتيكس,49.0%,1.62%,0.0%
4011,لازوردي,49.0%,2.49%,0.0%
4012,الأصيل,49.0%,3.63%,0.0%
4180,مجموعة فتيحي,49.0%,4.04%,0.0%
9618,الفاخرة,49.0%,0.13%,0.0%
1810,سيرا,49.0%,7.29%,0.0%
1820,بان,49.0%,3.71%,0.0%
1830,لجام للرياضة,49.0%,7.69%,0.0%
4170,شمس,49.0%,3.56%,0.0%
4290,الخليج للتدريب,49.0%,2.83%,0.0%
4291,الوطنية للتعليم,49.0%,7.12%,0.0%
4292,عطاء,49.0%,2.39%,0.0%
6002,هرفي للأغذية,49.0%,2.9%,0.0%
6012,ريدان,49.0%,4.19%,0.0%
6013,التطويرية الغذائية,49.0%,2.65%,0.0%
6014,الآمار,49.0%,5.09%,0.0%
6015,أمريكانا,100.0%,4.42%,0.0%
6016,برغرايززر,49.0%,1.27%,0.0%
6017,جاهز,49.0%,4.04%,0.0%
9541,أكاديمية التعلم,49.0%,0.18%,0.0%
9562,بوابة الأطعمة,49.0%,0.08%,0.0%
9567,غذاء السلطان,49.0%,0.81%,0.0%
9590,أرماح,49.0%,0.06%,0.0%
9598,المحافظة للتعليم,49.0%,0.11%,0.0%
9603,الأفق التعليمية,49.0%,0.62%,0.0%
9617,ارابيكا ستار,49.0%,0.53%,0.0%
9628,لمسات,49.0%,0.18%,0.0%
9630,ريشيو,49.0%,0.5%,0.0%
9632,رؤية المستقبل,49.0%,0.18%,0.0%
9636,الخزامى,49.0%,0.13%,0.0%
4070,تهامة,49.0%,1.99%,0.0%
4071,العربية,49.0%,4.59%,0.0%
4072,مجموعة إم بي سي,49.0%,1.03%,0.0%
4210,الأبحاث والإعلام,49.0%,7.92%,0.0%
9615,مفيد,49.0%,0.27%,0.0%
4003,إكسترا,49.0%,20.77%,0.0%
4008,ساكو,49.0%,2.0%,0.0%
4050,ساسكو,49.0%,6.25%,0.0%
4051,باعظيم,49.0%,1.79%,0.0%
4190,جرير,49.0%,13.14%,0.0%
4191,أبو معطي,49.0%,2.8%,0.0%
4192,السيف غاليري,49.0%,1.31%,0.0%
4193,نايس ون,49.0%,3.19%,0.0%
4240,سينومي ريتيل,49.0%,5.47%,0.0%
9522,الحاسوب,49.0%,0.82%,0.0%
9537,أمواج الدولية,49.0%,0.11%,0.0%
9551,برج المعرفة,49.0%,0.8%,0.0%
9589,فاد,49.0%,0.82%,0.0%
4001,أسواق ع العثيم,49.0%,6.89%,0.0%
4006,أسواق المزرعة,49.0%,4.7%,0.0%
4061,أنعام القابضة,49.0%,4.06%,0.0%
4160,ثمار,49.0%,4.28%,0.0%
4161,بن داود,49.0%,2.98%,0.0%
4162,المنجم,49.0%,4.48%,0.0%
4163,الدواء,49.0%,6.33%,0.0%
4164,النهدي,49.0%,8.37%,0.0%
9549,البابطين الغذائية,49.0%,0.16%,0.0%
9592,المجتمع الطبية,49.0%,0.47%,0.0%
2050,مجموعة صافولا,49.0%,7.8%,0.0%
2100,وفرة,49.0%,2.04%,0.0%
2270,سدافكو,49.0%,6.05%,0.0%
2280,المراعي,49.0%,10.3%,0.0%
2281,تنمية,49.0%,2.71%,0.0%
2282,نقي,49.0%,0.77%,0.0%
2283,المطاحن الأولى,49.0%,2.75%,0.0%
2284,المطاحن الحديثة,49.0%,2.17%,0.0%
2285,المطاحن العربية,49.0%,0.94%,0.0%
2286,المطاحن الرابعة,49.0%,1.11%,0.0%
2287,إنتاج,49.0%,0.85%,0.0%
4080,سناد القابضة,49.0%,3.59%,0.0%
6001,حلواني إخوان,49.0%,2.23%,0.0%
6010,نادك,49.0%,6.51%,0.0%
6020,جاكو,49.0%,1.12%,0.0%
6040,تبوك الزراعية,49.0%,2.58%,0.0%
6050,الأسماك,49.0%,2.49%,0.0%
6060,الشرقية للتنمية,49.0%,1.35%,0.0%
6070,الجوف,49.0%,3.69%,0.0%
6090,جازادكو,49.0%,2.05%,0.0%
9515,فش فاش,49.0%,1.01%,0.0%
9532,مياه الجوف,49.0%,0.92%,0.0%
